group	pTM_A	pTM_DNA	pTM_MG	pTM_C	pTM_rep	ipTM_A	ipTM_DNA	ipTM_MG	ipTM_C	ipTM_rep	ipTM_A_DNA	ipTM_A_MG	ipTM_DNA_MG	ipTM_A_C	ipTM_C_MG	ipTM_A_rep	ipTM_C_DNA	ipTM_C_rep	ipTM_DNA_rep	ipTM_MG_rep	ipSAE_A_DNA	ipSAE_d0chn_A_DNA	ipSAE_d0dom_A_DNA	ipTM_af_ipSAE_15_A_DNA	ipTM_d0chn_ipSAE_15_A_DNA	pDockQ_ipSAE_15_A_DNA	pDockQ2_ipSAE_15_A_DNA	LIS_ipSAE_15_A_DNA	ipSAE_A_C	ipSAE_d0chn_A_C	ipSAE_d0dom_A_C	ipTM_af_ipSAE_15_A_C	ipTM_d0chn_ipSAE_15_A_C	pDockQ_ipSAE_15_A_C	pDockQ2_ipSAE_15_A_C	LIS_ipSAE_15_A_C	ipSAE_A_rep	ipSAE_d0chn_A_rep	ipSAE_d0dom_A_rep	ipTM_af_ipSAE_15_A_rep	ipTM_d0chn_ipSAE_15_A_rep	pDockQ_ipSAE_15_A_rep	pDockQ2_ipSAE_15_A_rep	LIS_ipSAE_15_A_rep	ipSAE_C_DNA	ipSAE_d0chn_C_DNA	ipSAE_d0dom_C_DNA	ipTM_af_ipSAE_15_C_DNA	ipTM_d0chn_ipSAE_15_C_DNA	pDockQ_ipSAE_15_C_DNA	pDockQ2_ipSAE_15_C_DNA	LIS_ipSAE_15_C_DNA	ipSAE_C_rep	ipSAE_d0chn_C_rep	ipSAE_d0dom_C_rep	ipTM_af_ipSAE_15_C_rep	ipTM_d0chn_ipSAE_15_C_rep	pDockQ_ipSAE_15_C_rep	pDockQ2_ipSAE_15_C_rep	LIS_ipSAE_15_C_rep	ipSAE_DNA_rep	ipSAE_d0chn_DNA_rep	ipSAE_d0dom_DNA_rep	ipTM_af_ipSAE_15_DNA_rep	ipTM_d0chn_ipSAE_15_DNA_rep	pDockQ_ipSAE_15_DNA_rep	pDockQ2_ipSAE_15_DNA_rep	LIS_ipSAE_15_DNA_rep
gpa_ssDNA_30nt_2rep_gpc_seed9_model_0	0.57	0.14	NA	0.43	0.77	0.31	0.15	0.17	0.11	0.16	0.25	0.56	0.03	0.25	0.02	0.34	0.03	0.14	0.31	0.14	0.01977	0.254076	0.01977	0.56	0.143335	0.0337	0.0107	0	0.005514	0.28832	0.009634	0.25	0.149902	0.046	0.0091	0	0.205942	0.672136	0.251531	0.34	0.280807	0.1019	0.0587	0.2204	0	0	0	0.02	0.020072	0	0	0	0	0	0	0.14	0.107971	0.0267	0.0086	0	0.020772	0.306503	0.043126	0.14	0.163565	0.0705	0.0133	0
gpa_ssDNA_30nt_2rep_gpc_seed9_model_1	0.56	0.14	NA	0.45	0.755	0.32	0.14	0.17	0.11	0.16	0.27	0.59	0.04	0.24	0.02	0.33	0.03	0.13	0.26	0.13	0.021071	0.266103	0.030021	0.59	0.154761	0.0489	0.0121	0	0.005453	0.286217	0.011391	0.24	0.148939	0.0414	0.0095	0	0.214932	0.664981	0.252252	0.33	0.277911	0.1683	0.0309	0.2071	0	0	0	0.02	0.02011	0	0	0	0	0	0	0.13	0.101599	0.0272	0.0087	0	0.024769	0.346916	0.145968	0.13	0.161874	0.0678	0.0153	0.0111
gpa_ssDNA_30nt_2rep_gpc_seed9_model_2	0.55	0.14	NA	0.41	0.75	0.31	0.15	0.17	0.1	0.16	0.28	0.6	0.04	0.2	0.02	0.32	0.04	0.13	0.25	0.12	0.021958	0.274156	0.07921	0.6	0.163782	0.0397	0.0114	0.0042	0.005231	0.278255	0.005231	0.2	0.131189	0.0371	0.0091	0	0.188159	0.650502	0.226475	0.32	0.265794	0.0989	0.0189	0.1856	0	0	0	0.02	0.020913	0.0221	0.0083	0	0	0	0	0.13	0.099467	0.053900000000000003	0.0086	0	0.020383	0.303214	0.031739	0.12	0.149844	0.048	0.0123	0
gpa_ssDNA_30nt_2rep_gpc_seed9_model_3	0.55	0.12	NA	0.42	0.765	0.2	0.13	0.08	0.1	0.16	0.22	0.13	0.02	0.2	0.03	0.31	0.03	0.14	0.3	0.14	0.020572	0.261992	0.020572	0.13	0.12891	0.0313	0.0109	0	0.005005	0.269524	0.005005	0.2	0.119652	0.0431	0.0088	0	0.172533	0.620792	0.206247	0.31	0.254059	0.1156	0.0362	0.1572	0	0	0	0.03	0.020561	0.0195	0.0079	0	0	0	0	0.14	0.10638	0.0211	0.0086	0	0.020867	0.308317	0.02903	0.14	0.161362	0.0695	0.0117	0
gpa_ssDNA_30nt_2rep_gpc_seed9_model_4	0.56	0.12	NA	0.43	0.76	0.24	0.14	0.14	0.09	0.14500000000000002	0.2	0.49	0.01	0.23	0.02	0.15	0.03	0.1	0.31	0.1	0.018545	0.242052	0.018545	0.49	0.129306	0.0318	0.009	0	0.005369	0.283052	0.005369	0.23	0.144011	0.0405	0.0092	0	0	0	0	0.15	0.127937	0.0711	0.0091	0	0	0	0	0.02	0.018864	0	0	0	0	0	0	0.1	0.08789	0	0	0	0.022771	0.326347	0.035711	0.1	0.162597	0.0898	0.0132	0
gpa_ssDNA_30nt_2rep_seed10_model_0	0.71	0.15	NA	NA	0.725	0.44	0.21	0.29	NA	0.18	0.45	0.77	0.07	NA	NA	0.41	NA	NA	0.22	0.21	0.025646	0.30571	0.218314	0.77	0.23416	0.0857	0.0134	0.018	NA	NA	NA	NA	NA	NA	NA	NA	0.134571	0.573108	0.167263	0.41	0.309185	0.1364	0.0249	0.1372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.21	0.139536	0	0	0
gpa_ssDNA_30nt_2rep_seed10_model_1	0.69	0.14	NA	NA	0.7	0.41	0.18	0.27	NA	0.165	0.39	0.76	0.04	NA	NA	0.37	NA	NA	0.19	0.19	0.020966	0.265306	0.077255	0.76	0.192291	0.0899	0.0117	0	NA	NA	NA	NA	NA	NA	NA	NA	0.100647	0.540143	0.143004	0.37	0.275458	0.225	0.0132	0.0979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.19	0.122853	0.0191	0.0085	0
gpa_ssDNA_30nt_2rep_seed10_model_2	0.69	0.13	NA	NA	0.73	0.4	0.16	0.27	NA	0.18	0.28	0.77	0.03	NA	NA	0.38	NA	NA	0.22	0.19	0.020858	0.264374	0.074116	0.77	0.153426	0.0754	0.0128	0	NA	NA	NA	NA	NA	NA	NA	NA	0.116458	0.558169	0.151613	0.38	0.28438600000000003	0.1127	0.0259	0.1136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.19	0.135467	0.0525	0.0112	0
gpa_ssDNA_30nt_2rep_seed10_model_3	0.69	0.1	NA	NA	0.73	0.34	0.11	0.25	NA	0.165	0.15	0.73	0.01	NA	NA	0.36	NA	NA	0.21	0.18	0	0	0	0.73	0.097446	0.0313	0.0094	0	NA	NA	NA	NA	NA	NA	NA	NA	0.081417	0.511224	0.120693	0.36	0.263361	0.1441	0.0131	0.0725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.18	0.128391	0.0666	0.0109	0
gpa_ssDNA_30nt_2rep_seed10_model_4	0.68	0.12	NA	NA	0.72	0.32	0.15	0.23	NA	0.14	0.24	0.7	0.03	NA	NA	0.18	NA	NA	0.23	0.1	0.01867	0.243313	0.01867	0.7	0.134758	0.0673	0.011	0	NA	NA	NA	NA	NA	NA	NA	NA	0.006502	0.452771	0.055598	0.18	0.151512	0.1272	0.0101	0.0135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01867	0.284652	0.01867	0.1	0.143574	0.0696	0.0112	0
gpa_ssDNA_30nt_2rep_seed1_model_0	0.54	0.11	NA	NA	0.755	0.19	0.2	0.18	NA	0.265	0.12	0.1	0.03	NA	NA	0.32	NA	NA	0.35	0.48	0	0	0	0.1	0.080925	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0.264658	0.749283	0.348736	0.32	0.279513	0.1926	0.0218	0.3226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.024081	0.340132	0.219788	0.48	0.187981	0.0829	0.0159	0.0157
gpa_ssDNA_30nt_2rep_seed1_model_1	0.55	0.11	NA	NA	0.78	0.33	0.16	0.23	NA	0.175	0.17	0.68	0.01	NA	NA	0.32	NA	NA	0.33	0.12	0	0	0	0.68	0.100489	0.0312	0.0087	0	NA	NA	NA	NA	NA	NA	NA	NA	0.229663	0.704337	0.311503	0.32	0.271278	0.2037	0.0173	0.2818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.024961	0.348721	0.024961	0.12	0.170266	0.1282	0.0141	0
gpa_ssDNA_30nt_2rep_seed1_model_2	0.57	0.12	NA	NA	0.765	0.35	0.17	0.23	NA	0.18	0.22	0.69	0.02	NA	NA	0.34	NA	NA	0.29	0.13	0	0	0	0.69	0.125471	0.0493	0.0101	0	NA	NA	NA	NA	NA	NA	NA	NA	0.277645	0.761442	0.390674	0.34	0.291331	0.201	0.0194	0.342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.021791	0.31784	0.021791	0.13	0.150345	0.0739	0.0137	0
gpa_ssDNA_30nt_2rep_seed1_model_3	0.55	0.12	NA	NA	0.765	0.36	0.16	0.22	NA	0.18	0.22	0.67	0.01	NA	NA	0.32	NA	NA	0.3	0.12	0	0	0	0.67	0.1222	0.0323	0.01	0	NA	NA	NA	NA	NA	NA	NA	NA	0.244493	0.713484	0.31348	0.32	0.27515	0.1782	0.0239	0.2972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.023026	0.329868	0.100279	0.12	0.164609	0.0642	0.0128	0.0333
gpa_ssDNA_30nt_2rep_seed1_model_4	0.55	0.11	NA	NA	0.765	0.33	0.18	0.23	NA	0.19	0.16	0.71	0.01	NA	NA	0.32	NA	NA	0.28	0.12	0	0	0	0.71	0.101043	0.0188	0.0094	0	NA	NA	NA	NA	NA	NA	NA	NA	0.24972	0.711136	0.314494	0.32	0.273724	0.1938	0.018	0.3059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.026042	0.357011	0.195085	0.12	0.155888	0.0619	0.0169	0.0181
gpa_ssDNA_30nt_2rep_seed2_model_0	0.55	0.11	NA	NA	0.755	0.4	0.18	0.27	NA	0.2	0.24	0.77	0.02	NA	NA	0.43	NA	NA	0.35	0.2	0	0	0	0.77	0.137633	0.037	0.0097	0	NA	NA	NA	NA	NA	NA	NA	NA	0.326275	0.779165	0.423988	0.43	0.357257	0.2106	0.0769	0.3814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03624	0.43265	0.374586	0.2	0.227355	0.0681	0.0208	0.0663
gpa_ssDNA_30nt_2rep_seed2_model_1	0.53	0.11	NA	NA	0.75	0.41	0.19	0.27	NA	0.21000000000000002	0.24	0.77	0.02	NA	NA	0.41	NA	NA	0.37	0.2	0	0	0	0.77	0.138871	0.0283	0.0095	0	NA	NA	NA	NA	NA	NA	NA	NA	0.277002	0.766853	0.391282	0.41	0.338307	0.1965	0.0165	0.3417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.027163	0.366427	0.272946	0.2	0.193841	0.0735	0.0162	0.0197
gpa_ssDNA_30nt_2rep_seed2_model_2	0.55	0.11	NA	NA	0.755	0.36	0.14	0.26	NA	0.19	0.15	0.75	0.01	NA	NA	0.39	NA	NA	0.3	0.18	0	0	0	0.75	0.098824	0.0298	0.0088	0	NA	NA	NA	NA	NA	NA	NA	NA	0.218922	0.703527	0.32809	0.39	0.313868	0.2106	0.0181	0.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.028358	0.378551	0.260616	0.18	0.185278	0.0602	0.0162	0.0292
gpa_ssDNA_30nt_2rep_seed2_model_3	0.53	0.11	NA	NA	0.755	0.36	0.16	0.26	NA	0.19	0.16	0.77	0	NA	NA	0.38	NA	NA	0.39	0.16	0	0	0	0.77	0.09965	0.0211	0.0086	0	NA	NA	NA	NA	NA	NA	NA	NA	0.300036	0.75287	0.380658	0.38	0.319405	0.172	0.0167	0.3607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.048449	0.382424	0.297041	0.16	0.209883	0.0991	0.0166	0.06
gpa_ssDNA_30nt_2rep_seed2_model_4	0.57	0.11	NA	NA	0.745	0.35	0.16	0.24	NA	0.15000000000000002	0.25	0.77	0.02	NA	NA	0.22	NA	NA	0.29	0.1	0.019949	0.255955	0.019949	0.77	0.144614	0.0524	0.0108	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.22	0.153195	0.1084	0.0093	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025502	0.351686	0.248642	0.1	0.190052	0.0742	0.0154	0.0209
gpa_ssDNA_30nt_2rep_seed3_model_0	0.5	0.09	NA	NA	0.735	0.3	0.14	0.22	NA	0.18	0.11	0.63	0	NA	NA	0.31	NA	NA	0.31	0.12	0	0	0	0.63	0.080332	0.0201	0.0081	0	NA	NA	NA	NA	NA	NA	NA	NA	0.243978	0.709332	0.292303	0.31	0.27225	0.2554	0.0191	0.2999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.026171	0.359835	0.075058	0.12	0.169182	0.1221	0.0133	0.0333
gpa_ssDNA_30nt_2rep_seed3_model_1	0.47	0.09	NA	NA	0.72	0.33	0.15	0.23	NA	0.185	0.14	0.66	0.01	NA	NA	0.31	NA	NA	0.31	0.12	0	0	0	0.66	0.086581	0.0325	0.0086	0	NA	NA	NA	NA	NA	NA	NA	NA	0.219957	0.70259	0.274901	0.31	0.265039	0.2779	0.0129	0.2599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.023832	0.338027	0.075278	0.12	0.171116	0.0884	0.0136	0.0167
gpa_ssDNA_30nt_2rep_seed3_model_2	0.5	0.1	NA	NA	0.705	0.31	0.15	0.22	NA	0.175	0.16	0.64	0.01	NA	NA	0.31	NA	NA	0.32	0.12	0	0	0	0.64	0.093424	0.0406	0.0089	0	NA	NA	NA	NA	NA	NA	NA	NA	0.217264	0.692144	0.275476	0.31	0.266065	0.2023	0.013	0.2665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.024576	0.345111	0.143101	0.12	0.174648	0.0692	0.012	0.0333
gpa_ssDNA_30nt_2rep_seed3_model_3	0.5	0.09	NA	NA	0.73	0.34	0.12	0.23	NA	0.15	0.23	0.68	0.02	NA	NA	0.32	NA	NA	0.11	0.14	0	0	0	0.68	0.120128	0.0502	0.0094	0	NA	NA	NA	NA	NA	NA	NA	NA	0.235481	0.71721	0.29847	0.32	0.271816	0.1418	0.0263	0.285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.14	0.091205	0.0237	0.0088	0
gpa_ssDNA_30nt_2rep_seed3_model_4	0.49	0.09	NA	NA	0.72	0.28	0.13	0.21	NA	0.16	0.11	0.63	0	NA	NA	0.21	NA	NA	0.23	0.1	0	0	0	0.63	0.082407	0.0207	0.0082	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.21	0.154045	0.2106	0.009	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.1	0.140946	0.0855	0.0109	0
gpa_ssDNA_30nt_2rep_seed4_model_0	0.67	0.13	NA	NA	0.755	0.31	0.19	0.24	NA	0.20500000000000002	0.11	0.69	0.01	NA	NA	0.3	NA	NA	0.44	0.13	0	0	0	0.69	0.079372	0.0202	0.0082	0	NA	NA	NA	NA	NA	NA	NA	NA	0.022046	0.420941	0.063327	0.3	0.214527	0.2245	0.0106	0.0366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.127485	0.405983	0.326529	0.13	0.239767	0.0862	0.0167	0.0643
gpa_ssDNA_30nt_2rep_seed4_model_1	0.66	0.13	NA	NA	0.75	0.34	0.15	0.24	NA	0.16999999999999998	0.21	0.71	0.01	NA	NA	0.29	NA	NA	0.28	0.14	0.017934	0.235851	0.017934	0.71	0.121105	0.0514	0.0096	0	NA	NA	NA	NA	NA	NA	NA	NA	0.018555	0.417265	0.054398	0.29	0.206457	0.1377	0.0125	0.0232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.027875	0.371296	0.255094	0.14	0.168946	0.0566	0.0184	0.0255
gpa_ssDNA_30nt_2rep_seed4_model_2	0.68	0.12	NA	NA	0.735	0.31	0.17	0.24	NA	0.15500000000000003	0.2	0.72	0.01	NA	NA	0.15	NA	NA	0.28	0.11	0	0	0	0.72	0.119978	0.0384	0.0092	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.15	0.130547	0.221	0.0091	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.021858	0.318234	0.077478	0.11	0.155413	0.09	0.0131	0
gpa_ssDNA_30nt_2rep_seed4_model_3	0.65	0.13	NA	NA	0.74	0.35	0.17	0.24	NA	0.16	0.27	0.72	0.03	NA	NA	0.27	NA	NA	0.26	0.13	0.018174	0.238304	0.018174	0.72	0.145048	0.0595	0.0101	0	NA	NA	NA	NA	NA	NA	NA	NA	0.009808	0.400433	0.046063	0.27	0.194791	0.155	0.0102	0.0097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02672	0.360765	0.211596	0.13	0.15973	0.0482	0.0169	0.0265
gpa_ssDNA_30nt_2rep_seed4_model_4	0.65	0.12	NA	NA	0.74	0.28	0.15	0.22	NA	0.15000000000000002	0.17	0.66	0.01	NA	NA	0.16	NA	NA	0.27	0.11	0	0	0	0.66	0.102845	0.0285	0.0094	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.16	0.131136	0.1751	0.0089	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.023473	0.334554	0.173801	0.11	0.170468	0.0473	0.0129	0.0092
gpa_ssDNA_30nt_2rep_seed5_model_0	0.59	0.13	NA	NA	0.75	0.37	0.17	0.25	NA	0.165	0.3	0.7	0.05	NA	NA	0.34	NA	NA	0.2	0.14	0.024885	0.299424	0.13522	0.7	0.177396	0.0376	0.0135	0.0666	NA	NA	NA	NA	NA	NA	NA	NA	0.183522	0.721059	0.286412	0.34	0.271599	0.1077	0.038	0.2807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.14	0.125032	0.0724	0.011	0
gpa_ssDNA_30nt_2rep_seed5_model_1	0.56	0.13	NA	NA	0.75	0.35	0.16	0.24	NA	0.16	0.27	0.69	0.05	NA	NA	0.3	NA	NA	0.19	0.13	0.020983	0.265548	0.039435	0.69	0.148228	0.0526	0.0117	0.025	NA	NA	NA	NA	NA	NA	NA	NA	0.180899	0.708947	0.271001	0.3	0.24969	0.2413	0.0122	0.2753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.13	0.118582	0.0621	0.0106	0
gpa_ssDNA_30nt_2rep_seed5_model_2	0.6	0.15	NA	NA	0.745	0.36	0.18	0.25	NA	0.12	0.44	0.73	0.08	NA	NA	0.14	NA	NA	0.11	0.1	0.102753	0.315282	0.175663	0.73	0.232037	0.0612	0.0126	0.0796	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.14	0.123651	0.0409	0.009	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.1	0.090973	0.0186	0.0084	0
gpa_ssDNA_30nt_2rep_seed5_model_3	0.55	0.13	NA	NA	0.745	0.34	0.17	0.22	NA	0.165	0.29	0.63	0.05	NA	NA	0.28	NA	NA	0.24	0.13	0.048788	0.308772	0.130784	0.63	0.171916	0.0493	0.0181	0.066	NA	NA	NA	NA	NA	NA	NA	NA	0.168131	0.701029	0.257438	0.28	0.239784	0.1935	0.0128	0.2595	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01842	0.281861	0.01842	0.13	0.138673	0.107	0.0117	0
gpa_ssDNA_30nt_2rep_seed5_model_4	0.58	0.11	NA	NA	0.765	0.18	0.15	0.12	NA	0.165	0.27	0.09	0	NA	NA	0.18	NA	NA	0.24	0.28	0.021039	0.265368	0.021039	0.09	0.148286	0.0402	0.0107	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.18	0.144614	0.0914	0.0093	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.28	0.140528	0.0736	0.0114	0
gpa_ssDNA_30nt_2rep_seed6_model_0	0.45	0.11	NA	NA	0.8	0.29	0.16	0.22	NA	0.16999999999999998	0.15	0.65	0.01	NA	NA	0.21	NA	NA	0.36	0.11	0	0	0	0.65	0.09411	0.0285	0.0102	0	NA	NA	NA	NA	NA	NA	NA	NA	0.005151	0.396672	0.005151	0.21	0.157367	0.2591	0.0092	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.024345	0.342633	0.239588	0.11	0.190988	0.0844	0.0194	0.0388
gpa_ssDNA_30nt_2rep_seed6_model_1	0.45	0.11	NA	NA	0.785	0.31	0.13	0.21	NA	0.16499999999999998	0.13	0.65	0	NA	NA	0.26	NA	NA	0.28	0.09	0	0	0	0.65	0.086892	0.0229	0.0085	0	NA	NA	NA	NA	NA	NA	NA	NA	0.005378	0.407126	0.005378	0.26	0.174378	0.2033	0.0092	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02	0.299156	0.02	0.09	0.1442	0.0594	0.0126	0
gpa_ssDNA_30nt_2rep_seed6_model_2	0.45	0.11	NA	NA	0.79	0.33	0.13	0.23	NA	0.155	0.18	0.69	0.01	NA	NA	0.3	NA	NA	0.21	0.1	0	0	0	0.69	0.106261	0.0401	0.009	0	NA	NA	NA	NA	NA	NA	NA	NA	0.20584	0.650393	0.244786	0.3	0.258046	0.1015	0.0693	0.2179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.1	0.128281	0.0646	0.0115	0
gpa_ssDNA_30nt_2rep_seed6_model_3	0.44	0.11	NA	NA	0.79	0.31	0.13	0.23	NA	0.165	0.11	0.7	0	NA	NA	0.3	NA	NA	0.29	0.1	0	0	0	0.7	0.079681	0.0233	0.0085	0	NA	NA	NA	NA	NA	NA	NA	NA	0.193236	0.646881	0.230399	0.3	0.254503	0.1412	0.0142	0.1961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.017934	0.276386	0.017934	0.1	0.157473	0.0632	0.0118	0
gpa_ssDNA_30nt_2rep_seed6_model_4	0.47	0.12	NA	NA	0.785	0.34	0.13	0.24	NA	0.15	0.24	0.71	0.01	NA	NA	0.28	NA	NA	0.16	0.12	0	0	0	0.71	0.124624	0.0389	0.0095	0	NA	NA	NA	NA	NA	NA	NA	NA	0.117714	0.530927	0.144165	0.28	0.227769	0.126	0.0131	0.1173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.12	0.105701	0.0322	0.0107	0
gpa_ssDNA_30nt_2rep_seed7_model_0	0.77	0.12	NA	NA	0.77	0.27	0.19	0.14	NA	0.23500000000000001	0.29	0.09	0.03	NA	NA	0.57	NA	NA	0.3	0.35	0.022719	0.28172	0.131648	0.09	0.162211	0.0793	0.0147	0	NA	NA	NA	NA	NA	NA	NA	NA	0.31936	0.722626	0.521067	0.57	0.465627	0.21	0.0252	0.2469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.023053	0.330377	0.170115	0.35	0.160334	0.0557	0.016	0.0042
gpa_ssDNA_30nt_2rep_seed7_model_1	0.76	0.1	NA	NA	0.765	0.26	0.19	0.11	NA	0.225	0.27	0.08	0.01	NA	NA	0.56	NA	NA	0.27	0.26	0.02202	0.275434	0.130383	0.08	0.153237	0.0578	0.013	0	NA	NA	NA	NA	NA	NA	NA	NA	0.313275	0.727171	0.517547	0.56	0.459036	0.2942	0.0222	0.2506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.027533	0.371212	0.245472	0.26	0.169019	0.0702	0.017	0.0171
gpa_ssDNA_30nt_2rep_seed7_model_2	0.77	0.12	NA	NA	0.745	0.4	0.19	0.25	NA	0.22	0.31	0.6	0.04	NA	NA	0.57	NA	NA	0.29	0.27	0.023456	0.287957	0.159565	0.6	0.171524	0.0818	0.0139	0.0115	NA	NA	NA	NA	NA	NA	NA	NA	0.324109	0.73546	0.542542	0.57	0.469936	0.2597	0.0216	0.2515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.023941	0.337597	0.21022	0.27	0.18605	0.0698	0.014	0.0198
gpa_ssDNA_30nt_2rep_seed7_model_3	0.76	0.11	NA	NA	0.755	0.4	0.2	0.26	NA	0.22499999999999998	0.28	0.66	0.02	NA	NA	0.54	NA	NA	0.28	0.26	0.022168	0.276475	0.096788	0.66	0.159686	0.0943	0.0116	0	NA	NA	NA	NA	NA	NA	NA	NA	0.279484	0.714508	0.490612	0.54	0.43093	0.2544	0.0183	0.222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0278	0.369118	0.212222	0.26	0.165746	0.1153	0.0154	0.0218
gpa_ssDNA_30nt_2rep_seed7_model_4	0.77	0.11	NA	NA	0.775	0.4	0.19	0.25	NA	0.21	0.3	0.62	0.03	NA	NA	0.54	NA	NA	0.34	0.25	0.022572	0.279972	0.158041	0.62	0.167073	0.0712	0.014	0	NA	NA	NA	NA	NA	NA	NA	NA	0.286307	0.732874	0.524773	0.54	0.43613	0.1836	0.02	0.2447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.028328	0.374353	0.302125	0.25	0.21488	0.059	0.0174	0.0267
gpa_ssDNA_30nt_2rep_seed8_model_0	0.55	0.12	NA	NA	0.785	0.34	0.16	0.2	NA	0.185	0.22	0.58	0.02	NA	NA	0.33	NA	NA	0.27	0.12	0.018174	0.238304	0.018174	0.58	0.123448	0.0395	0.01	0	NA	NA	NA	NA	NA	NA	NA	NA	0.241577	0.715912	0.295879	0.33	0.278812	0.1831	0.0208	0.2799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.12	0.141746	0.0864	0.0117	0
